entry_id	trans_english	Slavonic_Old_Church_Phonemic
12.73	straight	pravŭ
12.74	crooked	strŭpĭlĭnŭ
12.75	hook	ąkotĭ
12.76	corner	ągŭlŭ (kutŭ)
12.77	cross	krĭstŭ; križĭ
12.78	square	
12.81	round	(o)kruglŭ
12.82	circle	krągŭ
12.83	sphere, ball	
12.84	line	
12.85	hole	dupina
12.92	like, similar	podobĭnŭ
12.93	change	měniti
13.0	zero, nothing	
13.1	one	jedinŭ
13.2	two	
13.3	three	trĭje
13.4	four	
13.5	five	
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	vĭsěkŭ; kŭžĭdo; vĭsi
13.15	much, many	mŭnogŭ
13.16	more	bolijĭ; mŭnožějĭ; vęšte
13.17	little (quantity), few	malo
13.18	enough	dovolĭnŭ
13.181	some	
13.19	multitude, crowd	mŭnožĭstvo; narodŭ
13.21	full	isplŭnŭ
13.22	empty	tŭštĭ
13.23	part, piece	čęstĭ; dělŭ
13.24	half	polŭ
13.33	alone, only	jedinŭ; jedino
13.34	first	prŭvŭ
13.35	last	poslědĭnĭjĭ
13.36	second	
13.37	pair	
13.38	two times	
13.42	third	tretĭjĭ
13.44	three times	tri kraty; trišdy
14.11	time	vrěmę; časŭ; godŭ
14.12	age	vŭzdrastŭ; vrŭsta
14.13	new	novŭ
14.14	young	junŭ
14.15	old	vetŭchŭ; starŭ
14.16	early	rano; za utra
14.17	late	pozdě
14.18	now	nyně
14.19	immediately	skoro; abĭje
14.21	swift, fast, quick	skorŭ; jędro; brĭzo
14.22	slow	mądĭnŭ; kŭsĭnŭ
14.23	hasten, hurry	potŭštati sę; podvignąti sę; spěšiti
14.24	retard, delay	mąditi; kŭsněti
14.25	begin, beginning	nacęti; načęlo; načętŭkŭ
14.252	last, endure	trajati
14.26	end (temporal)	konĭčina; konĭcĭ
14.27	finish	(sŭ-)konĭčati
14.28	cease, stop	prěstati
14.29	ready	gotovŭ
14.31	always	vìsegda
14.32	often	čęsto
14.33	sometimes	někŭgda
14.331	soon	
14.332	long-time (for a)	
14.34	never	nikoliže; nikŭgdaže; nikŭdaže
14.35	again	paky
14.41	day	dĭnĭ
14.42	night	noštĭ
14.43	dawn	rano; -brězgŭ; zorę
14.44	morning	utro; jutro
14.45	noon, midday	poludĭne
14.451	afternoon	
14.46	evening	večerŭ
14.47	today	dĭnĭsĭ
14.48	tomorrow	utrě
14.481	day-after-tomorrow	
14.49	yesterday	vĭčera
14.491	day-before-yesterday	
14.51	hour	godina; časŭ
14.53	clock, timepiece	
14.61	week	sobota; nedělja; sedmica
14.62	Sunday	nedělja
