entry_id	trans_english	Chipaya_Phonemic
13.19	multitude, crowd	wak-či ṣ̌oɲi
13.21	full	čʰixpi; pˀata
13.22	empty	laači
13.23	part, piece	
13.24	half	čika
13.33	alone, only	alax̣a; kama
13.34	first	[primira]
13.35	last	piča; pičut
13.36	second	
13.37	pair	pokultan
13.38	two times	pišk wilta
13.42	third	čʰepultan
13.44	three times	čʰep wilta
14.11	time	[timpu]
14.12	age	
14.13	new	ewu
14.14	young	tʰowa
14.15	old	čawkʷa
14.16	early	
14.17	late	
14.18	now	aɲ; xašiki
14.19	immediately	nix̣aru
14.21	swift, fast, quick	uri
14.22	slow	šumat; šumalʸat
14.23	hasten, hurry	uri paa-
14.24	retard, delay	enen-š
14.25	begin, beginning	ḳalʸti
14.252	last, endure	wiɲaya kʰee-; awanti-
14.26	end (temporal)	tukušin-
14.27	finish	č̣ʰaḳ; miranš
14.28	cease, stop	c̷ixt-
14.29	ready	[listu]
14.31	always	tira
14.32	often	wilta wilta
14.33	sometimes	awisaki
14.331	soon	[oralʸa]
14.332	long-time (for a)	
14.34	never	anawira
14.35	again	wilta
14.41	day	tʰuɲi; noox
14.42	night	wen; ween
14.43	dawn	ḳʰantati
14.44	morning	wenši ~ wenš
14.45	noon, midday	taypuru
14.451	afternoon	max̣ɲa; šeši
14.46	evening	šeši
14.47	today	toŋxi
14.48	tomorrow	xaḳa
14.481	day-after-tomorrow	kata ḳatwenš
14.49	yesterday	ewi; šešku
14.491	day-before-yesterday	tukamax
14.51	hour	[ora]
14.53	clock, timepiece	
14.61	week	
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	xiiš
14.73	year	wata
14.74	winter	šak [timpu]
14.75	spring	
14.76	summer	čixɲi [timpu]
14.77	autumn	šiwi
14.78	season	čašɲi
15.21	smell (vb intrans)	muks
15.212	sniff	
15.22	smell (vb trans)	mukš
15.25	fragrant, good smelling	ulurčiš
15.26	stinking, bad smelling	čʰonanči
15.31	taste	malʸš
15.35	sweet	mašḳˀa
15.36	salty	ḳˀara
15.37	bitter	xaru
15.38	acid, sour	xaru
15.39	brackish	
15.41	hear	non-š
15.42	listen	non-š
15.44	sound, noise	x̣ora
15.45	loud	[altu]
15.46	quiet, silence	čˀuxu
15.51	see	čerš
15.52	look, look at	čerš; č̣ekš
15.55	show	tʰees
15.56	shine	lʸipinš
15.57	bright	lʸixɲi
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	čiwi
15.65	black	c̷oḳ
15.66	red	lxok
15.67	blue	larama
15.68	green	čˀoxɲa
15.69	yellow	kˀilʸu
15.71	touch	lanš
15.712	pinch	
15.72	feel	lar-
15.74	hard	tʰupi
15.75	soft	ḳoɲa
15.76	rough	č̣ʰax̣ta
15.77	smooth	[lʸanu]
