entry_id	trans_english	Elamite_Phonemic
12.61	wide, broad	
12.62	narrow	
12.63	thick (in dimension)	
12.65	thin (in dimension)	zikki: NE zik-ki
12.67	deep	AchE du-šá-ra-ma
12.68	shallow	
12.71	flat	ME ma-šu-um
12.73	straight	AchE iš-tur-rák-qa
12.74	crooked	
12.75	hook	
12.76	corner	
12.77	cross	
12.78	square	
12.81	round	irpi: ME ir-pi
12.82	circle	pur: ME pu-ur
12.83	sphere, ball	ME še-be
12.84	line	
12.85	hole	
12.92	like, similar	
12.93	change	
13.0	zero, nothing	
13.1	one	ki: AchE ki-ik(-ki/-qa); OE, AchE ki-ir
13.2	two	mar: NE ma-ir, mar-ra; AchE mar
13.3	three	ziti: AchE zí-ti
13.4	four	
13.5	five	AchE *tu-ku (?)
13.6	six	
13.7	seven	
13.8	eight	
13.9	nine	
13.10	ten	
13.101	eleven	
13.102	twelve	
13.103	fifteen	
13.104	twenty	
13.105	hundred	
13.106	thousand	
13.107	count	
13.14	every, all	AchE un-ra
13.15	much, many	AchE ir-še-ik-ki
13.16	more	
13.17	little (quantity), few	AchE ha-ri-ik-ki
13.18	enough	
13.181	some	
13.19	multitude, crowd	
13.21	full	huh: OE hu-úh
13.22	empty	
13.23	part, piece	AchE áš
13.24	half	ME pír-ni; pír-nu-šu, pír-nu-ba
13.33	alone, only	
13.34	first	AchE ap-pu-qa-na
13.35	last	
13.36	second	
13.37	pair	NE tuk
13.38	two times	
13.42	third	
13.44	three times	
14.11	time	AchE da-la-ri [= dalar.e]
14.12	age	
14.13	new	
14.14	young	puhu.na: AchE pu-hu-na, pu-u-na, pu-un-na
14.15	old	kara: AchE qa-ra
14.16	early	irpi/ urpu-: AchE ir-pi; ME ur-pu-ub-ba; AchE ap-pu-qa
14.17	late	AchE maš-šá, me-šá
14.18	now	ME a-am; ME, NE, AchE am
14.19	immediately	
14.21	swift, fast, quick	
14.22	slow	
14.23	hasten, hurry	
14.24	retard, delay	
14.25	begin, beginning	
14.252	last, endure	
14.26	end (temporal)	AchE mur
14.27	finish	AchE tar-ma; tar-maš
14.28	cease, stop	
14.29	ready	
14.31	always	OE a-ka-da
14.32	often	
14.33	sometimes	
14.331	soon	
14.332	long-time (for a)	AchE me-ul-li(-ik)
14.34	never	
14.35	again	ME, NE ki-qa
