entry_id	trans_english	Persian_Phonemic
11.13	take	gereftæn/gir-; bær-dɑštæn
11.14	seize, grasp	gereftæn / gir-
11.15	hold	negɑh-dɑštæn ~ negæh-dɑštæn
11.16	get, obtain	[hɑsel]-kærdæn; be-dæst ɑværdæn
11.17	keep, retain	negɑh-dɑštæn
11.18	thing	čiz
11.21	give	dɑdæn/ deh-
11.22	give back	pæs-dadæn
11.24	preserve, look after	negɑh-dɑštæn; [hefz]-kærdæn
11.25	save, rescue	ræhɑʔi-kærdæn; [neǰɑt]-dɑdæn
11.27	destroy	nist-o-nɑbud-kærdæn
11.28	harm, injure, damage	[zærær]-ræsɑndæn
11.31	seek, look for	ǰostoǰu-kærdæn
11.32	find	peydɑ-kærdæn
11.33	lose	gom-kærdæn
11.34	release, let go	[xælɑs]-kærdæn; ræhɑ-dɑdæn
11.43	money	pul
11.44	coin	[sekke]
11.51	rich	[servæt]mænd
11.52	poor	[meskin]; [fæqir]; dærviš; niyɑzmænd
11.53	beggar	gædɑ
11.54	avaricious, stingy	[bæxil]
11.61	lend	[qærz]-dɑdæn
11.62	borrow	[qærz]-kærdæn/ -gereftæn
11.63	owe	
11.64	debt	vɑm; qærz
11.65	pay (vb)	pærdɑxtæn/ pærdɑz-
11.66	account, reckoning	[hesɑb]
11.69	tax, tribute	bɑǰ; [mɑliyɑt]
11.77	hire	[kerɑye]-kærdæn
11.78	wages	[hoquq]
11.79	earn	[kæsb]-kærdæn
11.81	buy	xæridæn
11.82	sell	foruxtæn/ foruš-
11.83	trade, barter	[teǰɑræt]-kærdæn
11.84	merchant	[tɑǰer]; bɑzærgɑn
11.85	market (place)	bɑzɑr
11.86	store, shop	dokkɑn; mæqɑze
11.87	price	qeymæt; bæhɑ
11.88	dear (costly, expensive)	gerɑn
11.89	cheap	ærzɑn
11.91	share (distribute)	[tæqsim]-kærdæn
11.92	weigh	[væzn]-kærdæn
12.1	after	pæs; [bæʔd]
12.11	behind	pæs; [æqɑb]
12.2	beside	pæhlu; kenɑr
12.3	down, below	paʔin
12.4	before	piš; ǰelow
12.41	front	ǰelow
12.5	inside, in	dær; dærun; ændær
12.6	outside	birun
12.7	under	zir
12.8	up, above	bɑlɑ
