entry_id	trans_english	Karok_Phonemic
8.912	yam	- -
8.92	tapioca, manioc, cassava	- -
8.93	gourd	- -
8.931	pumpkin, squash	- -
8.94	bamboo	- -
8.941	sugar cane	- -
8.96	fish poison (root)	- -
8.97	nettle	ʔakβīn
8.98	mushroom	xayβīš
9.11	do, make	-ʔikyaβ
9.12	work	-ʔikyáβīčβa
9.14	bend	-kifnuk
9.15	fold	- -
9.16	tie, bind	-ʔinhíka
9.161	untie	- -
9.18	chain	- -
9.19	rope, cord	ʔá̄n
9.192	knot (noun)	- -
9.21	strike (hit, beat)	-ʔiykar
9.211	pound with fist	- -
9.22	cut	-ʔikβit
9.221	cut down	- -
9.222	chop, hew	-ʔá̄k
9.223	stab	- -
9.23	knife	símsīm
9.24	scissors, shears	táčakar
9.25	ax	ʔakó̄r
9.251	adze	- -
9.26	break	-ʔikpat
9.261	broken	-ʔišpat
9.27	split	-ʔikrak
9.28	tear	-pititítit
9.29	flay, skin	-išfir
9.31	rub, wipe	-iyβúruk
9.32	stretch	- -
9.33	pull	-ʔiθyur
9.34	spread out	- -
9.341	hang up	-tákararih
9.342	press	- -
9.343	squeeze, wring	- -
9.35	pour	-ʔiyβê̄š
9.36	wash	-piθxah
9.37	sweep	-tátuy
9.38	broom	tátuyšurar
9.422	tool	- -
9.43	carpenter	- -
9.44	build	- -
9.46	bore	- -
9.461	hollow out	- -
9.48	saw	βúčixar
9.49	hammer	[háma]
9.5	nail	sī́h
9.56	glue	ʔapunáxβuh
9.6	smith, blacksmith	- -
9.61	forge	- -
9.62	anvil	- -
9.63	cast (metals)	- -
9.64	gold	ʔišpuk
9.65	silver	- -
9.66	copper, bronze	- -
9.67	iron	símsīm
9.68	lead (noun)	- -
9.69	tin, tinplate	- -
9.71	potter	- -
9.72	mold (clay etc)	- -
9.73	clay	ʔamtūp
9.74	glass	pimustihβá̄nar
9.75	weave, plait	-vik
9.76	basket	ʔásip
9.77	mat	ʔiθvar
9.771	rug	- -
9.78	netbag	θuxriβ
9.79	fan (noun)	- -
9.791	fan (vb)	- -
9.81	carve	- -
9.82	sculptor	- -
9.83	statue	- -
9.84	chisel	- -
9.88	paint (noun)	- -
9.89	paint (vb)	- -
10.11	move	- -
10.12	turn over	- -
10.13	turn around	- -
10.14	wind, wrap	-ʔiyxô̄rariβ
10.15	roll	-ʔiyruh
10.16	drop (vb)	- -
10.17	twist	ʔátat
10.21	rise	-ʔuh
10.22	raise, lift	-ʔê̄čip
10.23	fall	-ʔikyiβ
10.24	drip	-ʔírih
10.25	throw	-paθ
10.252	catch (ball)	-pax
10.26	shake	- -
10.32	flow	-βur
10.33	sink	-ʔarankúrih
10.34	float	-θiβruh
10.35	swim	-ʔikpuh
10.351	dive	-ʔīpkúrih
10.352	splash	-ʔikčusúčus
10.36	sail (vb)	-βit
10.37	fly (vb)	-ʔikxip
10.38	blow	-fumpuh
10.41	creep, crawl	-βô̄r
10.412	kneel	-páθakha
10.413	crouch	- -
10.42	slide, slip	-tápič
10.43	jump, leap	-ʔiškak
10.431	kick	- -
10.44	dance	-ʔih
10.45	walk	-ʔáhō
10.451	limp	- -
10.46	run	-ʔikβip
10.47	go	-ʔáhō
10.471	go up	-βurā
10.472	climb	-ʔikfuk
10.473	go down	-βī́š
10.474	go out	-βárip
10.48	come	-ʔáhō
10.481	come back	-ʔípak
10.49	go away, depart	-βâ̄ram
10.491	disappear	-sir
10.51	flee	- -
10.52	follow	-ʔáharam
10.53	pursue	-ʔáharam
10.55	reach, arrive	-ʔūm
10.56	approach	- -
10.57	enter	-βô̄nfuruk
10.61	carry (bear)	-ʔê̄θ
10.612	carry-in-hand	-mû̄t; -ʔiktaβ
10.613	carry-on-shoulder	-ʔikβat
10.614	carry-on-head	- -
10.615	carry-underarm	- -
10.62	bring	-ʔê̄θ
10.63	send	- -
10.64	lead (vb)	-ʔišrá̄t
10.65	drive	-ʔáha-
10.66	ride	-kû̄ntakō
10.67	push, shove	-taxya-
10.71	road	ʔimpāh
10.72	path	ʔimpāh
10.74	bridge	ʔahyūm
10.75	carriage, wagon, cart	[βê̄kin]
10.76	wheel	takníhar
10.77	axle	- -
10.78	yoke	- -
10.81	ship	- -
10.83	boat	pá̄h
10.831	canoe	pá̄h
10.832	outrigger	- -
10.84	raft	- -
10.85	oar	pahβítar
10.851	paddle (noun)	pahβítur
10.852	row (vb)	-vit
10.86	rudder	- -
10.87	mast	- -
10.88	sail (noun)	- -
10.89	anchor	- -
10.91	harbor, port	- -
10.92	land (vb)	- -
11.11	have	-θīn
11.12	own, possess	-θīn
11.13	take	-ʔé̄θ
11.14	seize, grasp	-ʔáxay
11.15	hold	-θīn; -ʔištak
11.16	get, obtain	- -
11.17	keep, retain	-xá̄yha
11.18	thing	- -
11.21	give	-ʔé̄h
11.22	give back	- -
11.24	preserve, look after	xú̄s + ʔé̄θ
11.25	save, rescue	-xāyha
11.27	destroy	- -
11.28	harm, injure, damage	- -
11.31	seek, look for	-ʔápiβ
11.32	find	-mah
11.33	lose	-pá̄čur
11.34	release, let go	- -
11.43	money	ʔišpuk
11.44	coin	- -
11.51	rich	yāsʔára
11.52	poor	kâ̄rim
11.53	beggar	ʔimūmáhān
11.54	avaricious, stingy	ʔamíhyaβ
11.61	lend	- -
11.62	borrow	- -
11.63	owe	- -
11.64	debt	- -
11.65	pay (vb)	-ʔiyúriš
11.66	account, reckoning	- -
11.69	tax, tribute	- -
11.77	hire	-ʔihruβ
11.78	wages	- -
11.79	earn	- -
11.81	buy	-ʔikβáriš
11.82	sell	-ʔiyé̄šrīhβa
11.83	trade, barter	-pê̄βapiθβa
11.84	merchant	- -
11.85	market (place)	- -
11.86	store, shop	pēβapiθβāram
11.87	price	- -
11.88	dear (costly, expensive)	- -
11.89	cheap	- -
11.91	share (distribute)	- -
11.92	weigh	-má̄θha
12.1	after	- -
12.11	behind	ʔífuθ
12.2	beside	ʔápapkam
12.3	down, below	súruk
12.4	before	- -
12.41	front	ʔá̄vkam
12.5	inside, in	súruk; ʔīná̄k
12.6	outside	ʔî̄kam
12.7	under	súruk
12.8	up, above	ʔaʔ
12.11	place	- -
12.12	put	-ʔūβ
12.13	sit	-ʔikriβ; -kû̄riš
12.14	lie down	-ʔá̄siš
12.15	stand	-ʔihyárih
12.16	remain, stay	-sām
12.17	remains, left overs	- -
12.21	collect, gather	-ʔífik
12.212	pick up	-ʔê̄čip
12.213	pile up	-ʔikyut-
12.22	join, unite	- -
12.23	separate	-iktak
12.232	divide	- -
12.24	open	-čiβčá̄ksur
12.25	shut, close	-čiβčak
12.26	cover	-ʔiθxup
12.27	hide, conceal	-ʔíšunβa
12.31	high	ʔaʔvárih
12.32	low	- -
12.33	top	ʔípan
12.34	bottom	ʔáfiβ
12.35	end	ʔípan
12.352	pointed	yáθah
12.353	edge	tī́m
12.36	side	ʔápap
12.37	middle, center	ʔá̄čip
12.41	right (side)	yá̄stīkam
12.42	left (side)	kútutukam
12.43	near (adv)	ʔû̄mukič
12.44	far (adv)	yīβ
12.45	east	- -
12.46	west	- -
12.47	north	- -
12.48	south	- -
12.53	grow	-ʔif
12.54	measure	-suprih; -suprav
12.541	span, fathom	- -
12.55	large, big	ké̄č ~ -kām
12.56	small, little	nî̄namič ~ -ʔanamahač
12.57	long	vâ̄ram ~ -xárah
12.58	tall	vâ̄ram ~ -xárah
12.59	short	ʔipšû̄nkinač
12.61	wide, broad	tírih
12.62	narrow	čû̄yič
12.63	thick (in dimension)	ʔítpūm
12.65	thin (in dimension)	xútnahič
12.67	deep	núkah; ʔé̄nīk
12.68	shallow	ʔasáxnahič
12.71	flat	tínihič
12.73	straight	fīpáyaβ
12.74	crooked	-kūn
12.75	hook	taxβúkar
12.76	corner	- -
12.77	cross	- -
12.78	square	- -
12.81	round	ʔúruh
12.82	circle	- -
12.83	sphere, ball	- -
12.84	line	- -
12.85	hole	
12.92	like, similar	kúniš
12.93	change	- -
13.0	zero, nothing	púfāt
13.1	one	yīθa ~ ʔiθa-
13.2	two	ʔáxak
13.3	three	kuyrāk
13.4	four	pīθ
13.5	five	ʔitró̄p
13.6	six	ʔikrívkih
13.7	seven	ʔaxakinívkih
13.8	eight	kuyrakinívkih
13.9	nine	ʔitrōpatíšāmnih
13.10	ten	ʔitrahyar ~ ʔitahara-
13.101	eleven	ʔitráhyar káru yíθa
13.102	twelve	ʔitráhyar káru ʔáxak
13.103	fifteen	ʔitráhyar káru ʔitró̄p
13.104	twenty	xakitráhyar
13.105	hundred	ʔiθa-páčiš
13.106	thousand	ʔitahara-páčiš
13.107	count	-tó̄r
13.14	every, all	kōβúra
13.15	much, many	tāy
13.16	more	kumatê̄šič
13.17	little (quantity), few	čî̄mič
13.18	enough	kó̄nik
13.181	some	ká̄kum
13.19	multitude, crowd	- -
13.21	full	ʔaxyar
13.22	empty	ʔárūn
13.23	part, piece	ʔišvit
13.24	half	ʔišvit
13.33	alone, only	páθa
13.34	first	píšīp
13.35	last	ʔifučtî̄mič
13.36	second	- -
13.37	pair	- -
13.38	two times	ʔaxákyān
13.42	third	- -
13.44	three times	kuyrákyān
14.11	time	- -
14.12	age	- -
