entry_id	trans_english	Maca_Phonemic
7.27	wall	xilafiʔ (m.)
7.31	fireplace	
7.32	stove	--
7.33	chimney	--
7.37	ladder	-weɬilaχ (m.)
7.42	bed	-iwhilaχ ~ -ewhilaχ (m.)
7.421	pillow	-osiyit (m.)
7.422	blanket	-intaafit ~ -entaafit (m.)
7.43	chair	-c̷ˀoxilaχ (m.)
7.44	table	-kulaχ (m.)
7.45	lamp, torch	fetitxii (f.)
7.46	candle	
7.47	shelf	--
7.48	trough	tokˀo (m.)
7.51	roof	
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	
7.56	post, pole	c̷upxuʔ (f.)
7.57	board	
7.58	arch	--
7.61	mason	--
7.62	brick	--
7.63	mortar	--
7.64	adobe	
8.11	farmer	ɬʔexinḳawet ɬeyɬeʔ
8.12	field (for cultivation)	ɬˀexinḳa-wet (m.)
8.13	garden	
8.15	cultivate, till	-wenḳˀen
8.16	fence	-ḳec̷itaχ (m.)
8.17	ditch	witixkiʔ (f.)
8.21	plow	-efuɬut
8.212	furrow	awḳataχ (m.)
8.22	dig	-tixxuʔ ~ -ɬixxuʔ
8.23	spade	-eχ-pˀilasinetiʔ (f.)
8.24	shovel	fiskunet (m.)
8.25	hoe	-pˀilasinetiʔ (f.)
8.26	fork	newen (f.)
8.27	rake	c̷eyem (f.)
8.31	sow	-wenḳˀen
8.311	seed	ɬoʔ (f.)
8.32	mow, reap	
8.33	sickle, scythe	--
8.34	thresh	--
8.35	threshing-floor	--
8.41	crop, harvest	
8.42	grain (barley, oats etc)	
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	--
8.47	maize, corn	naac̷ˀaxik (m.)
8.48	rice	lefʔefic̷ ɬihi-i
8.51	grass	xupˀel (m.)
8.52	hay	--
8.53	plant (noun)	witˀenkixuʔ (f.)
8.531	plant (vb)	-enxuʔ
8.54	root	ɬefitec̷ (m.)
8.55	branch	ɬakxiʔ (m.)
8.56	leaf	ɬesex (m.)
8.57	flower	ɬʔopˀom (f.)
8.6	tree	naxkak (f.)
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	
8.68	tobacco	finak (m.)
8.69	smoke (tobacco)	-(wa)nḳaɬan
8.691	pipe	finkaxii (f.)
8.72	tree stump	
8.73	tree trunk	-ɬetuk (f.); xeteʔ (f.)
8.74	forked branch	
8.75	bark	
8.76	sap	ɬʔiʔ (m.)
8.81	palm tree	fic̷uk (f.)
8.82	coconut	fic̷kuteykak (f.)
8.83	citrus fruit	ekˀimiixiʔ
8.84	banana tree	
8.85	banyan	--
8.91	sweet potato	peχeyek (f.)
8.912	yam	
8.92	tapioca, manioc, cassava	c̷ipuk
8.93	gourd	nekɬintaχ (f.)
8.931	pumpkin, squash	lekituk (f.)
8.94	bamboo	sontok (m.)
8.941	sugar cane	ɬeḳepinuʔ (m.)
8.96	fish poison (root)	
8.97	nettle	
8.98	mushroom	tip-tip ɬoḳoɬokiʔ (f.)
9.11	do, make	-aḳsixkii
9.12	work	-ithayii
9.14	bend	-ewḳˀulutxuʔ
9.15	fold	-itˀixemḳˀul
9.16	tie, bind	-opheɬ
9.161	untie	-itˀixiʔ
9.18	chain	foɬoɬikˀi (m.)
9.19	rope, cord	niyak (m.)
9.192	knot (noun)	-sifinhet (m.)
9.21	strike (hit, beat)	-lanix
9.211	pound with fist	-lankii
9.22	cut	-isaχi
9.221	cut down	-fekinxuʔ
9.222	chop, hew	-isaχxuʔ
9.223	stab	-tixem ~ -ɬixem
9.23	knife	-ḳac̷xikinetkiʔ (f.)
9.24	scissors, shears	-ḳˀitusxinetiʔ (f.)
9.25	ax	-fexinetkiʔ (f.)
9.251	adze	
9.26	break	-epɬet
9.261	broken	ḳaɬxem
9.27	split	-apkˀasitxem
9.28	tear	-iwḳhafʔit
9.29	flay, skin	-ax-teʔ
9.31	rub, wipe	-osxaʔ
9.32	stretch	-xin
9.33	pull	-ec̷inkii
9.34	spread out	-akˀesaχkii
9.341	hang up	-opheɬ-pham
9.342	press	-eḳhuput
9.343	squeeze, wring	-(e)ḳesuxaχ
9.35	pour	-ac̷iixuʔ; -haminhetxiʔ
9.36	wash	-empulix ~ -empuxin
9.37	sweep	-pˀilasin; -pˀilas
9.38	broom	-pˀilasinetiʔ (f.)
9.422	tool	-ithayi-woʔ (m.)
9.43	carpenter	
9.44	build	-ic̷upi(n)xuʔ
9.46	bore	-itxuxem
9.461	hollow out	-tixxuʔ; -ɬixxuʔ
9.48	saw	xak-xak (m.)
9.49	hammer	-kˀunet (m.)
9.5	nail	kanaʔafi (f.)
9.56	glue	
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	--
9.65	silver	--
9.66	copper, bronze	--
9.67	iron	nixket (f.)
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	
9.72	mold (clay etc)	
9.73	clay	oɬoḳˀoy
9.74	glass	nalxemkii (m.)
9.75	weave, plait	-iftiihin; -iftii
9.76	basket	-iyik (?)
9.77	mat	yakɬeniɬ
9.771	rug	-oc̷hilaχ (m.)
9.78	netbag	tinax (m.); -eɬkukiʔ(f.)
9.79	fan (noun)	xikaf (m.)
9.791	fan (vb)	-xikaf-in
9.81	carve	
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	woteniɬ (m.)
9.89	paint (vb)	-linix
10.11	move	-wapxaʔ; -melelhit
10.12	turn over	-exeɬi -anu
10.13	turn around	-feyeykii
10.14	wind, wrap	-itunen
10.15	roll	-itunenxem
10.16	drop (vb)	
10.17	twist	-ewḳˀulutxuʔ
10.21	rise	-weɬ; -iʔipham
10.22	raise, lift	-(e)kumifi
10.23	fall	-am-xuʔ
10.24	drip	
10.25	throw	-xeleʔ
10.252	catch (ball)	-ekumiʔ
10.26	shake	-itˀix lux lux
10.32	flow	xey naʔ haḳḳiʔ
10.33	sink	-wixuʔ
10.34	float	
10.35	swim	-amkii
10.351	dive	-eχc̷ˀiyoykiʔ
10.352	splash	-itˀix c̷xiɬ
10.36	sail (vb)	
10.37	fly (vb)	-nayaʔ
10.38	blow	-fuyu
10.41	creep, crawl	-neyxetit
10.412	kneel	-(wo)nokokˀenxu
10.413	crouch	-upiixuʔ
10.42	slide, slip	-(a)ḳalasasii
10.43	jump, leap	-ilit-pham-kii
10.431	kick	-lan-i-fi
10.44	dance	-otoy
10.45	walk	-oc̷xoʔ
10.451	limp	iwelkimet
10.46	run	-kumax
10.47	go	-k / -uk
10.471	go up	-weɬiki-pham
10.472	climb	-weɬ-xiʔ
10.473	go down	-ilit-xuʔ
10.474	go out	-ik-fikˀi
10.48	come	-taɬ
10.481	come back	-pil
10.49	go away, depart	-ik-i-kˀuy
10.491	disappear	-ham
10.51	flee	-ilat
10.52	follow	-xayan-pham-kii
10.53	pursue	-xayankii
10.55	reach, arrive	-am
10.56	approach	-ixayec̷
10.57	enter	-wi(xi); wi-fi
10.61	carry (bear)	-ekaχ
10.612	carry-in-hand	-(e)kumiʔ-koy
10.613	carry-on-shoulder	-tiɬoχ ~ -ɬiɬoχ
10.614	carry-on-head	-enxiʔ wit-sinxeʔ
10.615	carry-underarm	
10.62	bring	-enkaχ
10.63	send	-inḳekenix
10.64	lead (vb)	
10.65	drive	
10.66	ride	-wutiikii
10.67	push, shove	-wum
10.71	road	-ikheyix (m.)
10.72	path	-ikheyix (m.)
10.74	bridge	watḳalayin (m.)
