entry_id	trans_english	Yagua_Phonemic
9.343	squeeze, wring	ruyunu; mũči
9.35	pour	rumi; hũči
9.36	wash	suta; sa; hasa
9.37	sweep	nini; nuni
9.38	broom	nintyã; nuntyã
9.422	tool	hwatyã
9.43	carpenter	hiray hwaɲu
9.44	build	rori
9.46	bore	hutya
9.461	hollow out	-say; -hũ; kanohu-; -kukõ
9.48	saw	[sirya]
9.49	hammer	[martiyu]
9.5	nail	yiwamyuro
9.56	glue	rupa-; rupa-di
9.6	smith, blacksmith	yiwamyu hwaɲu
9.61	forge	
9.62	anvil	
9.63	cast (metals)	
9.64	gold	[horo]
9.65	silver	[kuruki]; [kuriki]
9.66	copper, bronze	[brunsi]
9.67	iron	yiwamyu; hiwyamyu
9.68	lead (noun)	
9.69	tin, tinplate	[data]
9.71	potter	himõ hwaɲu
9.72	mold (clay etc)	panũy; hũde
9.73	clay	nadi
9.74	glass	[putiya]
9.75	weave, plait	hča
9.76	basket	hĩtyu; hntyu
9.77	mat	hča-tu; tiryõhay
9.771	rug	
9.78	netbag	suwõ
9.79	fan (noun)	pãpẽtyu
9.791	fan (vb)	kanuwũnu; hũpay
9.81	carve	taɲẽ; nãtya
9.82	sculptor	nãtĩ
9.83	statue	hantyasara; hantyasĩ
9.84	chisel	sityentyã
9.88	paint (noun)	mučantã
9.89	paint (vb)	mučanu
10.11	move	sikitya; santay; tãyã
10.12	turn over	sičunu; hanumitya
10.13	turn around	hanumitya; hanumitye
10.14	wind, wrap	ray; wa; mõsi
10.15	roll	sičunu
10.16	drop (vb)	
10.17	twist	ruyunu
10.21	rise	hasumi; nubesi
10.22	raise, lift	nubesi; nubesumi
10.23	fall	hũpatye; nõtay; hũy
10.24	drip	sitay
10.25	throw	hatya
10.252	catch (ball)	hũri
10.26	shake	mučutye
10.32	flow	si
10.33	sink	hay; howay
10.34	float	pupãyã
10.35	swim	nũni
10.351	dive	hãryũy
10.352	splash	
10.36	sail (vb)	
10.37	fly (vb)	hĩ; ratye
10.38	blow	du; rudi; duhã; duwuyẽ
10.41	creep, crawl	tirya; kanimyu
10.412	kneel	sa- hadasi-ɲu
10.413	crouch	padye
10.42	slide, slip	dusi; wasidya-
10.43	jump, leap	rãy; rãtitya
10.431	kick	nusi; nusiyẽ
10.44	dance	rãyã
10.45	walk	rupi; wũtayã
10.451	limp	kanuyã; padye
10.46	run	si; siči
10.47	go	hiya; hintye; rupi-či
10.471	go up	hasumi
10.472	climb	hasumi
10.473	go down	hmusa; hũhe
10.474	go out	mãsi; mudsahã; mũti
10.48	come	hni
10.481	come back	tãryĩ
10.49	go away, depart	hiya
10.491	disappear	karay; paritay
10.51	flee	bay; siči
10.52	follow	sityarĩ
10.53	pursue	siryĩ; sitya
10.55	reach, arrive	hĩta; hntĩ; hũni; hntõ
10.56	approach	tudi
10.57	enter	hay; sihe
10.61	carry (bear)	hiyata; pũča; pũryĩ; titya
10.612	carry-in-hand	htu; hũtu
10.613	carry-on-shoulder	sa- titya; nuču
10.614	carry-on-head	
10.615	carry-underarm	
10.62	bring	hũri
10.63	send	hpã; nsũy
10.64	lead (vb)	mutay; hiyata
10.65	drive	
10.66	ride	
10.67	push, shove	hatya
10.71	road	nũ; nũki
10.72	path	mantya; nũ
10.74	bridge	ramutĩnu
10.75	carriage, wagon, cart	[karru]
10.76	wheel	watatõ
10.77	axle	
10.78	yoke	
10.81	ship	[wapuru]
10.83	boat	kartye; [wapuru]
10.831	canoe	kartye; hũmuɲu
10.832	outrigger	
10.84	raft	murityu; murtyu; rityu
10.85	oar	satyã
10.851	paddle (noun)	satyã; -hay; -hi;
10.852	row (vb)	sayã
10.86	rudder	[timyũ]
10.87	mast	
10.88	sail (noun)	
10.89	anchor	
10.91	harbor, port	hmusaho; hũmusaho
10.92	land (vb)	hta
11.11	have	-tĩ; -tara
11.12	own, possess	-hãmi; -tĩ
11.13	take	hũri
11.14	seize, grasp	hũri
11.15	hold	hũri
11.16	get, obtain	hũri
11.17	keep, retain	bay
11.18	thing	tara
11.21	give	sãy
11.22	give back	tãryatani
11.24	preserve, look after	bay; hnũču/ hnũtya
11.25	save, rescue	hantyuy; rãy
11.27	destroy	parita
11.28	harm, injure, damage	harupanu; hpãy; harupanu
11.31	seek, look for	wãta
11.32	find	dirye; sara; sirye; sarye
11.33	lose	pãčitya; karay
11.34	release, let go	hmũrya
11.43	money	[k(u)riki; kuruki]
11.44	coin	[kriki]dye
11.51	rich	ratyã; taratĩ
11.52	poor	hantyuyadaway
11.53	beggar	hačiɲũrya
11.54	avaricious, stingy	hũbarya
11.61	lend	sãy
11.62	borrow	sãy
11.63	owe	sa- [diwyi]
