entry_id	trans_english	Ese_Ejja_Huarayo_Phonemic
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	
14.73	year	
14.74	winter	na-yaha
14.75	spring	
14.76	summer	eše kiaha
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	
15.212	sniff	
15.22	smell (vb trans)	
15.25	fragrant, good smelling	
15.26	stinking, bad smelling	
15.31	taste	
15.35	sweet	kia-bikia
15.36	salty	kia-sese
15.37	bitter	kia-poe
15.38	acid, sour	kia-sese
15.39	brackish	
15.41	hear	šaxa-kwe
15.42	listen	šaxa-kwe
15.44	sound, noise	
15.45	loud	
15.46	quiet, silence	
15.51	see	ba-kwe
15.52	look, look at	ba-kwe
15.55	show	ba-mee-kwe
15.56	shine	sio-kwe
15.57	bright	kia-sio-nee
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	
15.64	white	oše
15.65	black	tewe
15.66	red	yoʔo; woʔo
15.67	blue	kawa
15.68	green	kawa
15.69	yellow	hawa
15.71	touch	miši-kwe
15.712	pinch	čixi-kwe
15.72	feel	
15.74	hard	kia-kaʔa
15.75	soft	kia-noma; kia-poʔi
15.76	rough	kia-šaa
15.77	smooth	šaa-ʔama
15.78	sharp	kia-hewi
15.79	blunt, dull	
15.81	heavy	kia-pexa; kia-bikie
15.82	light (in weight)	bikie-ʔama
15.83	wet, damp	e-šepa
15.84	dry	kia-habo
15.85	hot	kia-kio
15.851	warm	kia-kio
15.86	cold	kia-we
15.87	clean	kia-wio; kia-bohia
15.88	dirty, soiled	kia-sewe
15.89	wrinkled	kia-hee-šiwi
16.11	soul, spirit	e-šawa
