entry_id	trans_english	Lakkia_Phonemic
8.73	tree trunk	cie:ŋ.1 kwa:k.7 chɛ:n.3
8.74	forked branch	chɛ:n.3
8.75	bark	cie:ŋ.1 kwa:k.7; kwa:k.7
8.76	sap	cam.3 ŋjã.1
8.81	palm tree	pa.2
8.82	coconut	tie:m.3 coŋ.3
8.83	citrus fruit	coŋ.3
8.84	banana tree	ka:t.7; chɛu.1 kou.3
8.85	banyan	mɛ.4 ja:u.2
8.91	sweet potato	kut.7 kou.3
8.912	yam	piŋ.2 kut.7 kou.3
8.92	tapioca, manioc, cassava	cɛu.1 ciŋ.2
8.93	gourd	kou.3 lok.8
8.931	pumpkin, squash	kou.3 mak.8 ka:k.7
8.94	bamboo	kou.3 kju.1
8.941	sugar cane	kou.3
8.96	fish poison (root)	kou.3 kok.5
8.97	nettle	kou.3 fei.5; kou.3 kjie.3
8.98	mushroom	kuə.6; pli:p.7
9.11	do, make	wa:ŋ.2
9.12	work	kou.3 lak.8 fok.7
9.14	bend	kja:k.7; jɛt.7
9.15	fold	wa:ŋ.2 khjo.3
9.16	tie, bind	coŋ.5
9.161	untie	kan.1
9.18	chain	tan.4 cei.5; cei.5 kan.1
9.19	rope, cord	cei.5 chɛ̃.5
9.192	knot (noun)	wa.1
9.21	strike (hit, beat)	cie.3
9.211	pound with fist	huə.1
9.22	cut	cei.5
9.221	cut down	cei.5 pɛ:k.7
9.222	chop, hew	cei.5 pei.2 pie:k.8
9.223	stab	cei.5 ŋji:u.2
9.23	knife	thoŋ.3 cei.5 lak.8
9.24	scissors, shears	pau.1
9.25	ax	ŋji:n.1
9.251	adze	cen.1; tuə:t.7; si:t.7
9.26	break	toŋ.4 ŋji:n.4
9.261	broken	piŋ.3 la:ŋ.2
9.27	split	cei.5 to
9.28	tear	cei.5 ka
9.29	flay, skin	cei.5 chɛ̃.5
9.31	rub, wipe	cei.5 pei.2; pei.2 cei.5
9.32	stretch	cei.5 tie:ŋ.1
9.33	pull	koŋ.3 la:ŋ.4
9.34	spread out	jɛ.3 cɨ.1
9.341	hang up	lak.8 ka:m.5
9.342	press	ma:ŋ.3 ko.1
