entry_id	trans_english	Li_of_Baoding_Phonemic
8.54	root	khɨ:ŋ.2 cɨ.2 ru:t.7
8.55	branch	ʔai.1 chai.1
8.56	leaf	khɨ:ŋ.2 cɨ.2 ha:u.3
8.57	flower	man.1
8.6	tree	ge:k.7
8.61	oak	man.1 ha:u.3
8.62	beech	cɨ.2 ga:i.2
8.63	birch	cɨ.2 ʔei.1
8.64	pine	kat.7
8.65	fir	nɨ:ŋ.1
8.66	acorn	ro:n.2
8.67	vine	ma:i.3
8.68	tobacco	za.1
8.69	smoke (tobacco)	det́.7
8.691	pipe	vu:k.7
8.72	tree stump	vu:k.7 koŋ.1
8.73	tree trunk	hwo:ŋ.2
8.74	forked branch	go:p.7
8.75	bark	tan.3
8.76	sap	za:u.2
8.81	palm tree	pan.1
8.82	coconut	tan.3 lo:p.8
8.83	citrus fruit	tha:i.2
8.84	banana tree	ci:t.8
8.85	banyan	ka:i.3; rau.2
8.91	sweet potato	bi:u.3
8.912	yam	phau.3
8.92	tapioca, manioc, cassava	ka.3
8.93	gourd	cɨ.2 gop.7
8.931	pumpkin, squash	bua.2
8.94	bamboo	cho:k.7
8.941	sugar cane	pho:n.3
8.96	fish poison (root)	bu:ŋ.1
8.97	nettle	ʔi:k.7
8.98	mushroom	de:ŋ.3
9.11	do, make	fɨ:p.7
9.12	work	fɨ:p.7
9.14	bend	za.3 ta:u.3
9.15	fold	kwa:ŋ.1; gwa:t́.8
9.16	tie, bind	gwa:t́.8 thɨ:n.1
9.161	untie	ʔwa.2
9.18	chain	ri:ŋ.3
9.19	rope, cord	cho:t.7
9.192	knot (noun)	mi:t.7
9.21	strike (hit, beat)	co.2
9.211	pound with fist	to:k.7
9.22	cut	kut.7
9.221	cut down	rik.7 gui.1; rau.1 gui.1
9.222	chop, hew	ka:ŋ.2 ki.1
9.223	stab	chai.3 be.2 vu:k.7 chai.1
9.23	knife	vu:k.7
9.24	scissors, shears	phau.3; phou.3
9.25	ax	ban.2; hjut.7
9.251	adze	keɨ.3
9.26	break	cɨ.2 thut.7
9.261	broken	da:n.3
9.27	split	tho:ŋ.1; ki:u.2 tui.3
9.28	tear	chai.3 be.2 tha:i.2 go:i.1
9.29	flay, skin	cɨ.2 thim.2 go:i.1
9.31	rub, wipe	kim.3, khim.1
9.32	stretch	kan.1
9.33	pull	du:ŋ.1
9.34	spread out	go:i.1
9.341	hang up	łe:k.7
9.342	press	ti:k.7
9.343	squeeze, wring	vu:k.7 ve:u.1
9.35	pour	ple:k.7
9.36	wash	kia.3
9.37	sweep	cho:ŋ.2
9.38	broom	ku:ŋ.3
9.422	tool	doŋ.3
9.43	carpenter	thɨ:k.7
