entry_id	trans_english	Panare_Phonemic
9.56	glue	y-ɨpuʔkə-to
9.6	smith, blacksmith	--
9.61	forge	--
9.62	anvil	--
9.63	cast (metals)	--
9.64	gold	[oro]
9.65	silver	[arata]
9.66	copper, bronze	--
9.67	iron	amčiri
9.68	lead (noun)	--
9.69	tin, tinplate	--
9.71	potter	ano maanə-ɲe
9.72	mold (clay etc)	ano maanə-
9.73	clay	ano
9.74	glass	kiririn
9.75	weave, plait	ɨkaʔ(-pɨ)(-pi)
9.76	basket	tawa
9.77	mat	sunwa
9.771	rug	--
9.78	netbag	[saku]
9.79	fan (noun)	papeik
9.791	fan (vb)	-ɨpapeiʔma-
9.81	carve	iye maanə-
9.82	sculptor	--
9.83	statue	--
9.84	chisel	--
9.88	paint (noun)	waače; ankuk; ayawa
9.89	paint (vb)	
10.11	move	-oʔnomaʔ; -os-oʔnomaʔ-
10.12	turn over	-areɲaka-
10.13	turn around	-oponaka-; -os-oponaka-
10.14	wind, wrap	-awontə-
10.15	roll	-areɲaka-
10.16	drop (vb)	-ɨpɨnka-
10.17	twist	-operʸe; -otatyimi-
10.21	rise	-os-an(-mɨ)(-mi)
10.22	raise, lift	-an(-mɨ)(-mi)
10.23	fall	-uwiɲa-
10.24	drip	asutapəʔ(-tɨ)(-ti); apa-
10.25	throw	-ama-
10.252	catch (ball)	-apəʔ(-sɨ)(-si)
10.26	shake	atəəpa-; -ɨkəhtə-
10.32	flow	-uwəhtə-
10.33	sink	-ən(-mɨ)(-mi)
10.34	float	əmɨʔka
10.35	swim	akueʔ(-pɨ)(-pi)
10.351	dive	-ə-n(-mɨ)(-mi)
10.352	splash	-oʔorinka-
10.36	sail (vb)	yu-tə-n tɨna mpaintya
10.37	fly (vb)	yu-tə-n kawə
10.38	blow	ɨpapeiʔma-; -apeʔma-
10.41	creep, crawl	yu-tə-n anapo
10.412	kneel	yo-s-amaikan tɨčeʔmun po
10.413	crouch	-os-amaika-
10.42	slide, slip	-uwəh-taih-ka-
10.43	jump, leap	-ɨpaatə; -ahpə-n(-mɨ)(-mi)
10.431	kick	-ompayiima- ihtan ke
10.44	dance	-otačima-
10.45	walk	-ataraama-
10.451	limp	yu-tə-n kasah-pe
10.46	run	yu-tə-n tainɲe
10.47	go	yu-tə-n
10.471	go up	-osan(-mɨ)(-mi)
10.472	climb	-osan(-mɨ)(-mi)
10.473	go down	-uwəhtə-
10.474	go out	apataka-
10.48	come	-uwəpɨn (-ə-, əpɨ-, əpi-)
10.481	come back	-os-awaama-
10.49	go away, depart	yu-tə-n
10.491	disappear	-uw-əʔmarapa-
10.51	flee	-yupe-
10.52	follow	yu-tə-n yɨ-pəkə-n
10.53	pursue	yu-tə-n t-yɨmɨhpə
10.55	reach, arrive	-us-ɨmɨnka-
